REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010-08-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.6,,,,1
2010-08-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.0,E,,,1
2010-09-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.1,,,,1
2010-09-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.6,,,,1
2010-09-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.5,E,,,1
2010-10-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.2,,,,1
2010-10-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.6,,,,1
2010-10-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.5,E,,,1
2010-11-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.4,,,,1
2010-11-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.8,,,,1
2010-11-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.8,E,,,1
2010-12-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.4,,,,1
2010-12-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.7,,,,1
2010-12-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.0,E,,,1
2011-01-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.6,,,,1
2011-01-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,87.0,,,,1
2011-01-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.1,E,,,1
2011-02-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,89.0,,,,1
2011-02-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,87.3,,,,1
2011-02-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.4,E,,,1
2011-03-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,89.0,,,,1
2011-03-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,87.4,,,,1
2011-03-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.3,E,,,1
2011-04-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,89.2,,,,1
2011-04-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,87.8,,,,1
2011-04-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.4,E,,,1
2011-05-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,89.6,,,,1
2011-05-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,88.2,,,,1
2011-05-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,92.7,E,,,1
2011-06-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,89.8,,,,1
2011-06-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,88.5,,,,1
